NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
"No , thank you .","So , then why did you speed up ?","Would you pour me some of that tea , please ?",I've said that I've got a problem with the circus . I'm not kidding .,But he seems to be very happy with Rose .,"Yeah , I'm afraid so .",missin' the boo ,,,,,,,,,,,,
"Room service , is there anything I can do for you ?",I'm going to have to write you a ticket .,"Hey , look , there is a circus show over there .","All right , madam . When I was sales manager at the Beijing Friendship Store . I succeeded in raising the yearly sales volume by 25 % and profit margins from 50 % to 80 % .","Hello , is that Cathy speaking ?","Yes , it is annoying .", Me too  #itm,,,,,,,,,,,,
"Well , we have 6 for each room .",Here you go . Don't do that again .,It's the circus .,I don't think so . I'll create further achievement in the future .,"Yes , how are you doing ?","Nothing particular . But , ...",Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ...,,,,,,,,,,,,
"OK sir , please wait a minute .",Surely of course .,"Oh , come on , they give them treat too.Oh , look , that little monkey is so cute .",Yes . I got the title of " Advance Worker " in 2006 .,Say I've got two tickets for the concert this evening.Would you like to come with me ?,"I , I don't know how to explain it to you .","had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ...",,,,,,,,,,,,
Why'd you pull me over ?,Sure .,"Oh , it is coming to us , come on , Ben , get a banana to it .",Yes . I wrote a thesis entitled " On Interpersonal Relations in the Socialist Market Economy " and it was published in China Daily .,Then I ' ll pick you up at six thirty.OK ?,"Yes , of course . But I'm afraid I can't tell you .", hey missed ya at the meeting  sup mama...,,,,,,,,,,,,
I ran a red light ?,My name is Dunlin and I live in Beijing . I was born in 1980 . I will graduate from Peking University this July . I have majored in accounting .,Why are you acting so strange today ?,"Hi there , everyone . We hope you're having a good night !",See you .,"How do you do ? Nice to meet you , Ms . Smith . I ?m Jack Stevens from the Marketing Department . Here is my card .","My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",,,,,,,,,,,,
"I apologize , but I didn't realize that I did .","There are three in my family , my parents and myself . My father is a teacher and my mother is a worker .",That's weird !,"The night is young , folks . Get some food and mingle with those faces from yesterday .",The weather has been terrible this week .,"Please call me Jack . Have a seat , please .",why is it always the fat ones?! ,,,,,,,,,,,,
I did learn that .,I have to start eating better too .,Now please tell me something about your past work achievements .,"But for now , the band is playing the songs from our senior year . Get out on that dance floor !",Let's hope it clears up .,You're welcome .," Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",,,,,,,,,,,,
I don't know what to tell you .,"I try my best to eat only fruits , vegetables , and chicken .",That is quite an achievement ! Do you consider it your most rewarding work experience ?,Yes . Go to the next corner and turn left onto Center Street . Walk three blocks to Second Avenue and turn right . Walk two more blocks and you'll see City Hall on the left .,Is that pesky lady coming to the office again ?,That's all right ., I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,,,,,,,,,,,,
I understand .,That's basically it .,Have you received any honors ?,"Okay . First , go to the next corner and turn left onto Center Street .","If there's one thing that bugs me , it's her critical attitude .",Not much . Just sitting here eating some Chinese food . Is that the paper ? Why don't you open it and tell me my horoscope ?,wednesday my b-day! don't know what 2 do!! ,,,,,,,,,,,,
Can I have the roll of film developed here ?,"Actually , fruits and veggies are really good for you .",Do you have any publications ?,"Then , walk three blocks to Second Avenue an turn right . Are you with me so far ?","Hi , Mr . Smith . what's new ?",What about Gemini ? What's the prediction ?,Poor cameron (the hills) ,,,,,,,,,,,,
Here is the film . Can I get my pictures tomorrow ?,"I mainly eat baked chicken , because there's not a lot of fat .","Hit ' em high , hit ' em low . Class of ' 93 ?let's go !","Then , walk two more blocks an you ?ll see City Hall on the left . Have you got all that ?",What's the matter ?,"That sounds bad ! I'm really worried , what should I do ? Maybe I should go home and stay in the rest of the day .","pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ...",,,,,,,,,,,,
Besides I want two copies of all the photos .,"I know it does , and that's because it is .",Wasn't that football game great ! I just knew we'd win !,"Nothing much , what's going on ?","Go ahead . It's nothing serious . We are good friends , aren't we ?",That sounds great . Where are you going ?," hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike...",,,,,,,,,,,,
"Tell me a little bit about yourself , please .",Could you show me where the Chinesc-style clothing is located ? I want to buy a silk coat .,Later we'll let you know who the King and Queen of the Reunion will be .,"Oh , really ? That's nice .",How do you do ?,What should I bring ?,Strider is a sick little puppy  ...,,,,,,,,,,,,
Would you tell me something about your family ?,"Oh , they look nice . May I try that black one on ?",Excuse me . Can you tell me how to get to City Hall ?,"This Friday ? Sorry , I already have plans .","It ?s nice to meet you , Mr . Stevens .",I feel confident of his ability to cure my daughter's disease .,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL........",,,,,,,,,,,,
I really need to start eating healthier .,Do you have a medium in the same color ? This one is a little tight .,I'm sorry . I didn't follow you . Could you please repeat that ?,I'm going to dinner with my family .,Thank you .,I can tell form the way he spoke to us .,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",,,,,,,,,,,,
What kind of food do you usually eat ?,OK . Let me try it on . What do you think ?,Uh-huh .,"Yeah , maybe next time .",Thanks for your hospitality .,I guess we should invite him . I just hope he doesn't start talking about Sylvester Stallone and Arnold Schwarzenegger again .," YOU don't follow me, either  and i work for you!",,,,,,,,,,,,
Is that really all that you eat ?,Really ? I'II take it and I'm leaving here tomorrow . Is it possible for you to send one in black to me by mail when you get it in ?,Yes . I'm following you .,Sounds like a plan .,I'm terribly sorry to have caused you so much trouble .,"Yeah , you're right . We'll never hear the end of it .",A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,,,,,,,,,,,,
How do you stick to only those foods ?,Thanks . How much would that come to ?,Yes . Now I've got it . Thank you very much .,It's simple . You can use call transfer .,"Hey , what's new ?","Personally , I'm not for it . I feel it's bad for kids to watch .", Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. ...,,,,,,,,,,,,
